office,co2e
Associated Students Concerts & Events,0.376338
Associated Students Concerts & Events,0.193187
Associated Students Concerts & Events,0.047669
Associated Students Concerts & Events,0.096593
Associated Students Concerts & Events,1.159120
Associated Students Concerts & Events,5.630240
Associated Students Concerts & Events,19.965297
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,22.646100
Associated Students Concerts & Events,15.221369
Associated Students Concerts & Events,12.752980
Associated Students Concerts & Events,2.199560
Associated Students Concerts & Events,16.014960
Associated Students Concerts & Events,-0.080285
Associated Students Concerts & Events,-0.963425
Associated Students Concerts & Events,-0.040143
Associated Students Concerts & Events,-0.160571
Associated Students Concerts & Events,0.832440
Associated Students Concerts & Events,-0.041397
Associated Students Concerts & Events,-0.164334
Associated Students Concerts & Events,-0.081540
Associated Students Concerts & Events,0.853440
Associated Students Concerts & Events,-0.987259
Associated Students Concerts & Events,-0.050178
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,-0.301070
Associated Students Concerts & Events,-0.025089
Associated Students Concerts & Events,0.260400
Associated Students Concerts & Events,-0.391391
Associated Students Concerts & Events,-0.032616
Associated Students Concerts & Events,-0.016308
Associated Students Concerts & Events,-0.065232
Associated Students Concerts & Events,0.338520
Associated Students Concerts & Events,-0.752675
Associated Students Concerts & Events,-0.062723
Associated Students Concerts & Events,-0.031361
Associated Students Concerts & Events,-0.125446
Associated Students Concerts & Events,0.651000
Associated Students Concerts & Events,-1.021130
Associated Students Concerts & Events,-0.085303
Associated Students Concerts & Events,-0.042652
Associated Students Concerts & Events,-0.169352
Associated Students Concerts & Events,0.882840
Associated Students Concerts & Events,-0.062723
Associated Students Concerts & Events,-0.015054
Associated Students Concerts & Events,-0.031361
Associated Students Concerts & Events,-0.376338
Associated Students Concerts & Events,0.325080
Associated Students Concerts & Events,-0.193187
Associated Students Concerts & Events,-0.047669
Associated Students Concerts & Events,-0.096593
Associated Students Concerts & Events,-1.159120
Associated Students Concerts & Events,1.002960
Associated Students Concerts & Events,70.016375
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,-0.006887
Associated Students Concerts & Events,377.651430
Associated Students Concerts & Events,387.067590
Associated Students Concerts & Events,2.508918
Associated Students Concerts & Events,17.003441
Associated Students Concerts & Events,0.008781
Associated Students Concerts & Events,0.018817
Associated Students Concerts & Events,0.005018
Associated Students Concerts & Events,0.112901
Associated Students Concerts & Events,-0.018817
Associated Students Concerts & Events,-0.005018
Associated Students Concerts & Events,0.097440
Associated Students Concerts & Events,-0.112901
Associated Students Concerts & Events,-0.008781
Associated Students Concerts & Events,2.493920
Associated Students Concerts & Events,2.771230
Associated Students Concerts & Events,0.030107
Associated Students Concerts & Events,0.007527
Associated Students Concerts & Events,0.015054
Associated Students Concerts & Events,0.180642
Associated Students Concerts & Events,0.045161
Associated Students Concerts & Events,0.011290
Associated Students Concerts & Events,0.022580
Associated Students Concerts & Events,0.270963
Associated Students Concerts & Events,-0.030107
Associated Students Concerts & Events,-0.007527
Associated Students Concerts & Events,-0.015054
Associated Students Concerts & Events,-0.180642
Associated Students Concerts & Events,0.156240
Associated Students Concerts & Events,-0.045161
Associated Students Concerts & Events,-0.011290
Associated Students Concerts & Events,-0.022580
Associated Students Concerts & Events,-0.270963
Associated Students Concerts & Events,0.234360
Associated Students Concerts & Events,1.038960
Associated Students Concerts & Events,4.371790
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,59.642141
Associated Students Concerts & Events,6.234800
Associated Students Concerts & Events,4.666160
Associated Students Concerts & Events,10.808820
Associated Students Concerts & Events,7.696000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.150535
Associated Students Concerts & Events,0.012545
Associated Students Concerts & Events,0.025089
Associated Students Concerts & Events,0.006272
Associated Students Concerts & Events,0.262182
Associated Students Concerts & Events,0.021326
Associated Students Concerts & Events,0.011290
Associated Students Concerts & Events,0.043906
Associated Students Concerts & Events,0.036379
Associated Students Concerts & Events,0.218276
Associated Students Concerts & Events,0.018817
Associated Students Concerts & Events,0.008781
Associated Students Concerts & Events,-0.003444
Associated Students Concerts & Events,1.941903
Associated Students Concerts & Events,0.161825
Associated Students Concerts & Events,0.080285
Associated Students Concerts & Events,0.323650
Associated Students Concerts & Events,0.075268
Associated Students Concerts & Events,0.018817
Associated Students Concerts & Events,0.037634
Associated Students Concerts & Events,0.451605
Associated Students Concerts & Events,0.010036
Associated Students Concerts & Events,0.040143
Associated Students Concerts & Events,0.020071
Associated Students Concerts & Events,0.240856
